Province_no,Province,Farm_count,County_count,Warm0Cold1,Dry0Semi05Wet1,Literatcy1HS2above,LongitudeDegree,LatitudeDegree,source1well2surface,network1traditional2modern,ECwatirrig_dsm,croparea_ha,SoilTexture1Light2Normal3Heavy,SoilSalinitydSm,variety1chaI2chamII3Pish4SirMih5Oth,GrowthLength150200_123,Irrig1surf2sprinkl3drip,irrig_depth_avg,number_of_irrig,water_vol_m3ha,effective_rain_fao_currentyear_mm,effective_rain_10year_fao075p_mm,WatNeedNationalBook_mm,WaterNeedBookmm,Et_clim_data_this_year_mm,ET_clim_10year_mm,leeching_need_percent,yield_kgha
1,Ardebil,6,1,1,0.5,1.5,47.8617,39.5633,1,2,1.1,16,3,2.2,3.7,2.8,1.3,109,8.7,6107,72,128,283,593,554,487,3,5737
2,Khuzestan,55,7,0,0.3,1.1,49.4131,31.1246,1.3,1.7,2,21,2.3,3.6,3.6,1.5,1.5,86,7.1,4752,112,147,440,594,417,482,5.6,4267
3,KhorasanRazavi,43,6,1,0.1,1.3,59.191,36.0872,2,1.7,1.5,21,2.2,2.1,3.4,3,1.8,77,8.1,5975,164,112,522,604,709,597,4.3,5707
4,Fars,48,7,0.5,0.2,1.3,53.3583,28.9453,2,1.7,2.5,8,2.3,2.5,3.4,2.3,1.8,251,6.6,5575,289,221,536,583,838,730,7.1,5703
5,Kerman,11,2,0,0,1.5,57.6689,28.2162,2,1.5,1.3,22,1.9,1.5,2.8,1.5,2.1,99,7,6090,197,197,320,716,700,700,3.3,4339
6,Kermanshah,8,1,1,0.5,1.5,46.9941,34.4298,2,1.8,0.6,14,2.5,2.6,3.4,3,1.8,68,6,4255,230,236,307,558,338,332,1.5,6663
7,Hamedan,10,2,1,0.5,1.2,49.0182,35.4323,2,2,0.3,19,2.8,1.5,3.4,3,2,623,8.6,5235,217,239,402,664,718,590,1,5490
9,EastAzarbayjan,14,1,1,0.5,1,46.0676,37.313,1.6,1,1.6,1,2.1,1.6,3.3,3,1,99,4.3,4274,110,124,328,574,451,402,4.6,4010
10,WestAzarbayjan,9,3,1,0.5,1.1,45.3888,37.4387,2,1,1.1,1,2,1.6,3.2,2.8,1.7,90,4.3,3787,212,280,378,536,451,457,2.9,4781
11,Semnan,12,4,1,0,1.6,54.4543,36.0712,2,1.3,2.1,30,1.8,1.8,3.7,2.9,1.5,84,9.3,7844,98,101,323,606,600,573,6.2,5317
12,Qazvin,12,2,1,0.3,1.6,50.1827,36.0222,1.8,1.3,2.5,101,2.8,2,3.7,3,1.3,115,6.1,6642,117,128,421,587,695,713,7.2,5983
13,Golestan,13,2,0,1,1.3,54.7551,37.0126,2,1,1,9,2.7,1.4,5,3,1.2,27,6,1639,136,197,158,587,274,222,2.8,4303
